Date,Mean_Day,P25_Day,P75_Day,P10_Day,P90_Day,Mean_Night,P25_Night,P75_Night,P10_Night,P90_Night
0,1.2098198191566403,0.1833333333333338,2.2666666666666666,-0.686989591673341,3.4586799276672657,-0.21925093644111318,-1.0500804251649793,0.6827827743607597,-1.944861603568572,1.456325232795823
1,1.212932638197432,0.2114621059691481,2.283363471971064,-0.6813994052384782,3.4405063291139206,-0.03128740837407082,-0.8936873030892252,0.9070582765666685,-1.8142857142857145,1.6756198986499578
2,1.2834664203995074,0.30571428571428577,2.3085639940523857,-0.5692134468584843,3.4231486156705206,0.00906682097476394,-0.8694182213003088,0.9449135849838968,-1.7628405797101447,1.746075383177346
3,1.290592539831846,0.31734693877550946,2.3030578415001033,-0.5247655267070798,3.3835985950277134,0.0025067048458859965,-0.8561904761904763,0.8824771176787423,-1.6841530367150874,1.6872755347134838
4,1.2386005080081024,0.2638267658196498,2.297095804316801,-0.6072277822257806,3.392245211569056,-0.020811178375396294,-0.8049991611441991,0.7959024362347006,-1.6238095238095238,1.5336497842380208
5,1.2284201457818416,0.23357142857142932,2.318467336683418,-0.5807142857142853,3.3532125700560456,-0.053809662511058905,-0.8173139837261937,0.7675406871609424,-1.631322838116017,1.4602221225799317
6,1.291939632199615,0.3424625414617388,2.3431720692339186,-0.4861088871096894,3.403463997585197,0.035807204010565655,-0.7368723550268771,0.8822095704694333,-1.619033686772179,1.5743896925858973
7,1.4518851202817835,0.4828891684776372,2.4954781657398177,-0.2619047619047611,3.5114605970490658,0.01628435561638356,-0.7699935513967391,0.8713882014931646,-1.635874635568513,1.552650691982159
8,1.5007131965724008,0.595714285714286,2.472151898734176,-0.20573953869997214,3.462096884418885,-0.02098503688281146,-0.7689025974025975,0.8244777088707254,-1.6690476190476191,1.458404048958084
9,1.566137234976707,0.6623809523809523,2.4946403286297247,-0.06625345622119823,3.4827053112065323,-0.015843297184680024,-0.7500000000000003,0.8388876815738301,-1.6071428571428572,1.5116897556803022
10,1.5972452394782333,0.6061836734693871,2.5653098033153774,-0.08886760716805897,3.61388888888889,-0.07360854039408221,-0.8466666666666668,0.7896095602992167,-1.7236824387747052,1.4327001331051492
11,1.7148401331536811,0.7176190476190474,2.631078785296854,0.05745939608829492,3.761434953728329,-0.11081838404486016,-0.8981815853501975,0.764137126949326,-1.7203702318623806,1.3993619261320038
12,1.8119900817455405,0.8073874123292735,2.735599908498225,0.17082261640798285,3.871469046220953,0.005280224222184012,-0.6932918934057786,0.7845978322874998,-1.5074341213249494,1.402793592590122
13,1.7291475183736602,0.7122555187006705,2.621137026239067,0.05471612425224306,3.911397365196071,-0.0571287874955144,-0.7761809447558026,0.6999298956223716,-1.4933877551020402,1.3813615764112968
14,1.6028321113893282,0.6323809523809522,2.5394036541819807,-0.08702587625924474,3.8645856728900667,-0.036133296007419734,-0.7582838622473562,0.7273524785633831,-1.5292253499151023,1.4213047409387531
15,1.6186534530079704,0.5833686423676346,2.582320505721672,-0.1491936406267894,3.9598878534742115,-0.021760733414671916,-0.745238095238095,0.7396619013353125,-1.4776983009952755,1.4113171902508284
16,1.5833567321734938,0.5023809523809524,2.5682098765432047,-0.2578777307560364,3.96438907487697,-0.07870793364942064,-0.800910697295092,0.6934842387659292,-1.5510808646917498,1.3319352403321856
17,1.6170514002216831,0.5909523809523812,2.591019193529903,-0.2130990506691069,3.973809523809525,-0.016433007281287396,-0.7052356170650735,0.6986880466472303,-1.3404761904761904,1.2953733248245067
18,1.5727894508299416,0.559874492432639,2.5205800059154093,-0.1810791490335162,3.821586276319102,0.0688043297327439,-0.5917162301269526,0.7225694841587618,-1.126151774293753,1.3030550172268425
19,1.5511712501779678,0.5160583582060422,2.506871107500696,-0.2744910213885427,3.9015561339039397,-0.023905622394500104,-0.6509945750452095,0.6523021758617925,-1.322875443211706,1.2372098128533116
20,1.6946773346717714,0.6682709956569457,2.5071428571428576,0.07835811506347988,3.905851215630305,0.021500713857096884,-0.5634523809523808,0.6361819478231665,-1.1426112318426114,1.1549947699405008
21,1.8039737773968185,0.8191381676769992,2.5619953105341424,0.2477095962484278,3.906791677711338,-0.030899057620759833,-0.6007711471239137,0.6381555153707031,-1.3406015155328106,1.1413131368567473
22,1.829001818881432,0.8395833333333325,2.59952139529421,0.2430887567196637,3.924054662202955,0.0572199146648111,-0.5015129919964926,0.6663323519888353,-1.1454375259587177,1.197524833982769
23,1.871720745300324,0.8985714285714285,2.6386297376093317,0.3363427430692983,3.882137826317616,0.07286507811677241,-0.4659968602825739,0.6505690267200486,-1.0809523809523809,1.1997287522603963
24,1.8266835343393162,0.8571428571428569,2.6488057027529184,0.24357200045751048,3.7415884167736966,0.12814820183679426,-0.4055472949788387,0.6948929381600517,-1.0002598231379343,1.2546055338924058
25,1.8720349494142141,0.8973880937186663,2.7476079079748135,0.2266666666666667,3.79734189488318,0.1368880014103415,-0.4447594752186588,0.7433124154054384,-1.0794578519958795,1.3695238095238096
26,1.8929168740922382,0.9302936362793663,2.797670078013591,0.21405961521710712,3.8145363408521327,0.1944516645934731,-0.42399437918975,0.8215458067146953,-1.0313245126143278,1.4072380952380956
