Date,Mean_Day,P25_Day,P75_Day,P10_Day,P90_Day,Mean_Night,P25_Night,P75_Night,P10_Night,P90_Night
0,-0.258361545369106,-1.128082098681531,0.8485049833887044,-2.6280820986815305,1.727006802721088,-1.7621418219648912,-2.3387755102040813,-1.0754285714285714,-3.2647682479271465,-0.4647682479271465
1,-0.3467166139980405,-1.284694848443662,0.7897959183673465,-2.7332225913621264,1.6999999999999995,-1.6754634548936227,-2.3098817452766096,-0.9806122448979594,-3.06760738072584,-0.35273888813375254
2,-0.4269359185787514,-1.3510204081632653,0.679785714285714,-2.701454397172764,1.578571428571428,-1.6622887811084202,-2.2733451134973506,-1.048571428571429,-2.9,-0.4452482849875044
3,-0.38119461910684715,-1.269009106972952,0.6693877551020406,-2.469009106972952,1.4964285714285717,-1.7988299928618077,-2.442857142857143,-1.154736985184179,-3.1142857142857143,-0.551946843853821
4,-0.34063423650455776,-1.1725714285714286,0.6607142857142857,-2.2831724887861884,1.414285714285714,-1.6390171932326516,-2.26086720130488,-0.9678024781341107,-2.9603479047007912,-0.40042448979591944
5,-0.21529047587606528,-1.0224489795918366,0.7535714285714289,-2.102446649449503,1.5225510204081614,-1.7189884709106686,-2.302541796928096,-1.0596846540709528,-2.989795918367347,-0.5882560826423813
6,-0.32579865419546444,-1.036917221693622,0.5645408163265309,-1.9955510204081632,1.1230713275409143,-1.3846450064499767,-1.844464285714286,-0.7550088351230115,-2.657142857142857,-0.36993475601467996
7,-0.23334343020714232,-0.9795918367346936,0.6634153661464582,-1.8357857142857141,1.179057623049218,-1.4969076066844795,-1.9142857142857141,-0.8985727878211219,-2.710714285714286,-0.4959428571428572
8,-0.25896633393383356,-1.0122448979591836,0.6738520408163263,-2.0551020408163265,1.1999999999999997,-1.6636073287031108,-2.0638983281228747,-1.0496126138371604,-2.9355980698654345,-0.6286194477791125
9,-0.26279495290854865,-0.9551020408163268,0.6329346200897153,-2.0333333333333337,1.112857142857142,-1.8213849161615168,-2.215,-1.2354492320239217,-3.065952380952381,-0.7912258473234094
