Date,Mean_Day,P25_Day,P75_Day,P10_Day,P90_Day,Mean_Night,P25_Night,P75_Night,P10_Night,P90_Night
0,0.5549549614610387,-0.2629900332225919,1.3715407689925565,-1.1294938073606928,2.203673493268483,-0.29519302060245917,-1.0376389210071686,0.5667456589212331,-2.018950293300402,1.2388725199005635
1,0.522714240457136,-0.2674854169049532,1.3302716233972163,-1.1175913852636516,2.1972295136279523,-0.23526990452383112,-1.0199999999999996,0.6433130699088142,-2.01516936671576,1.3647826525983464
2,0.536411035780386,-0.23967560324167697,1.3273998182887066,-1.0879099270536001,2.2024794137969526,-0.2502155981718633,-1.059496217462961,0.6453764639091518,-2.026584124442412,1.3448444469861598
3,0.5253420873100054,-0.2524762958280883,1.3462095830674317,-1.1201672473867577,2.1995106199117656,-0.27649914497025135,-1.0863538006747873,0.5752852809475664,-1.9733944091592948,1.2558147074774269
4,0.4901665964893335,-0.2814712389380647,1.3080740404269795,-1.1075365435205309,2.121615584415584,-0.3124222839906535,-1.089996644576796,0.5093644310192549,-1.9183832780510133,1.1524660554717463
5,0.5139753092286454,-0.22204091406677606,1.2964114148461594,-1.0035885851538409,2.085312651083371,-0.3341791193531562,-1.07297733358492,0.45498764834970296,-1.8967346765125945,1.0996041225854891
6,0.5689575725760601,-0.1333333333333322,1.3370270763059566,-0.9082699643164753,2.0651520023848353,-0.2914289008377128,-0.9838742512625788,0.4683806918866198,-1.868566876895369,1.1541990987300328
7,0.6337477300257747,-0.07692470350973829,1.428396825396825,-0.8211156462585039,2.109954783824283,-0.31053914705417873,-0.9898954703832752,0.42840994882980143,-1.8806471919680097,1.0868454824392537
8,0.672448900032569,-0.0064910608468001,1.4657603493658775,-0.7797342192691028,2.104744386048734,-0.3240329215845484,-0.9502721454278971,0.3967672896275667,-1.8574525998711633,1.0246774030070234
9,0.7061419270518791,0.0526576274681628,1.4832769871845295,-0.7057659637540624,2.1454578700343623,-0.3251824948616582,-0.9432055749128915,0.37412055523863597,-1.7332361516034982,0.9926430748919746
10,0.7407142380041661,0.04320465583654525,1.5196671788461082,-0.6313952001937709,2.1853600693341098,-0.34065523789072955,-0.9429346384654738,0.36120120609566764,-1.7658907942792386,0.9882363623585039
11,0.7846085148445409,0.0894265491838787,1.5389991492553277,-0.5538095238095241,2.2191302656989653,-0.33253608465301904,-0.946843853820598,0.3667361835245067,-1.8056530939036928,0.9759538598047924
12,0.8217199519263271,0.12192691029900216,1.5948691283453964,-0.5171406056512451,2.2650512036651262,-0.2778754713678252,-0.8961594202898546,0.4181830092888823,-1.7055506222000996,0.99250062914186
13,0.7989540089034678,0.09285714285714214,1.5458103392957425,-0.5214499385566693,2.2186981214504153,-0.29789356825359775,-0.9189628730177439,0.36310285094720807,-1.6576620362166918,0.9670183209254719
14,0.7681946655411904,0.0894132572153498,1.4858115063479327,-0.5357142857142861,2.1475340997116295,-0.26821202090271484,-0.8964078913495669,0.3877440233844877,-1.6062856411100526,0.9884403200536264
15,0.7929910600279293,0.13488372093023254,1.4924418604651164,-0.5042857142857146,2.157722868435912,-0.25923749216669495,-0.8833333333333333,0.3821633557088072,-1.574736367934063,0.9647685972030307
16,0.7866585860016322,0.13655347032313786,1.4710611346219826,-0.4832016210739613,2.10111711387913,-0.2745254760840917,-0.8862516837738105,0.3620886123783911,-1.5796522932631782,0.9474184092241548
17,0.7934679383802299,0.1869009493308931,1.461306987180603,-0.44642857142857145,2.0572463768116003,-0.24211367311730278,-0.8375968465407093,0.35190724007778357,-1.433685257258586,0.9047242599726156
18,0.7848086183224959,0.21764705882352964,1.4281916218521429,-0.4181414896526699,1.9758919128023027,-0.2047155040461719,-0.7488590872698097,0.33237487515469605,-1.2677747277629055,0.843711593609178
19,0.8140231413966409,0.24640637035022955,1.459008345606284,-0.3642907870639642,1.9616959636691023,-0.22834751520603339,-0.7501314636283959,0.310494347707175,-1.31186832230861,0.825714861867312
20,0.8880086973937483,0.3478668649205079,1.4714285714285718,-0.2237273631688791,1.9597040396405496,-0.19319000424531854,-0.6781675294897772,0.32812664598817964,-1.1842958255091725,0.7704364954567411
21,0.9568178946717417,0.4357142857142855,1.504852453391285,-0.08882667497798967,1.9936640059249513,-0.21679525860873178,-0.6843853820598006,0.29384797724399814,-1.2115137790964225,0.7450176538263183
22,0.9379210422262972,0.38594589957680636,1.4956873964584898,-0.14846075450416343,2.016591454705684,-0.18588577672762605,-0.6274212100299057,0.29095238095238096,-1.1374149659863941,0.6981989756741006
23,0.9531480529892894,0.4037651216528474,1.4999589752940057,-0.11571428571428566,2.0135376026415854,-0.15148605777409221,-0.571061788613842,0.31007414272474665,-1.0783690544101274,0.7147718174539671
24,0.9325890155116534,0.3354395604395598,1.5421125807218727,-0.23004991192013038,2.057214539335698,-0.12368547520747072,-0.5441410843606813,0.340694554617483,-1.074716629416952,0.7654582468778138
25,0.9556132381315771,0.36879356572949507,1.5541947843989528,-0.2078397683397701,2.0816730875068856,-0.13916631012178377,-0.5934398143462318,0.35338184105382686,-1.153447619047619,0.7741197850821752
26,0.9281350899965123,0.3349599021340226,1.5573934837092758,-0.27092063492063484,2.057427937915746,-0.12780764976430836,-0.5851795151413406,0.3751719867914133,-1.1344983388704317,0.7862490562872307
27,0.8983518061596242,0.32040767978340345,1.5525179257681883,-0.3357142857142869,2.01891994675795,-0.11734066809614929,-0.5928571428571427,0.4028627977663106,-1.1180758017492711,0.8118551296032257
28,0.9069928037468314,0.2999048525214093,1.5765969802555162,-0.32809640072800184,2.061183704842422,-0.09631415600396624,-0.5579262672811062,0.386790825453616,-1.0580952380952386,0.7633701149425289
29,0.8713619563517531,0.2722569415317476,1.5732945845285684,-0.40708998085513876,2.030115520988218,-0.1654058969426632,-0.620918355616212,0.3215682144105382,-1.1552967592204206,0.7863787375415282
30,0.8641834550914281,0.1978745149556709,1.6130045218556308,-0.4787375415282407,2.0839389499389482,-0.1420931270633209,-0.5831562646077235,0.3276488095238093,-1.0860952380952387,0.7709421131463002
31,0.9115492784327862,0.2910213885394026,1.621823402727928,-0.4152341490446387,2.1053071028251167,-0.16512852418129542,-0.6137823129251696,0.31973779256508317,-1.1333333333333333,0.7639678755012869
32,0.8835607335504834,0.2105956336022775,1.672111181501427,-0.571428571428571,2.18498503147925,-0.1238346099558245,-0.6012163409109972,0.3777229883335363,-1.0707641196013291,0.8276190476190468
33,0.8859565574342554,0.2725952892034583,1.6604859855702672,-0.5998784194528867,2.1542719026160246,-0.13108445781685363,-0.6083354591836732,0.35581501831501805,-1.0665375699646924,0.796805346021429
34,0.8787967360734222,0.24651455414813914,1.6550597655796309,-0.5936577833695512,2.1343694665373434,-0.15478327890562926,-0.6239826839826841,0.3401993355481728,-1.082142857142857,0.7785714285714286
35,0.8442365703207123,0.2421688394566511,1.6260522310054233,-0.6571428571428574,2.1375988109194424,-0.21967621339917795,-0.7023255813953488,0.32752179745137405,-1.1857142857142855,0.7485391492288103
