Date,Mean_Day,P25_Day,P75_Day,P10_Day,P90_Day,Mean_Night,P25_Night,P75_Night,P10_Night,P90_Night
0,1.0695577124992983,0.3030480905233367,1.887026239067052,-0.4863037634408583,2.613256585893786,0.00989595362884315,-0.6941500513248772,0.7624960405448233,-1.4217609088915675,1.382178217821783
1,1.0559903508182418,0.2871234207968821,1.8807233538708326,-0.5102869421627512,2.6315025510204104,-0.017585614138160545,-0.7384531738480383,0.736371189294576,-1.45035457348407,1.3869505902311443
2,1.0287792336492736,0.2699741742558079,1.818593601520433,-0.5178591230551634,2.545544101268577,-0.04581208332728758,-0.8051514381686224,0.7246119548736928,-1.514860676906348,1.4113154172560105
3,0.9888936465536258,0.23099089302704787,1.7839285714285713,-0.5917032967032958,2.5116581632653086,-0.11819579375710429,-0.8794254658385093,0.625601131541724,-1.5747861894203345,1.345263014815821
4,0.9925445551737759,0.2816083576287637,1.772570903361341,-0.5193387808516374,2.448368704466268,-0.10451691278764637,-0.8465814870191656,0.6212839791787161,-1.553112390215462,1.3105613701236916
5,1.0664956675458586,0.39188293239237115,1.811839064836211,-0.3470930232558138,2.4618102508178814,-0.22013177736560507,-0.8727574750830562,0.40518566840842946,-1.5341751609767502,1.0925035360678912
6,1.0177531121744636,0.3342655373103852,1.7319368131868131,-0.366600016385464,2.372833320135151,-0.23131040218100266,-0.8417623920913417,0.3476352834641345,-1.5417169964223714,1.0492239467849225
7,1.0303257435014788,0.4350587840770087,1.6561962083962898,-0.21685441985257847,2.235294117647057,-0.3264368522868335,-0.9267537449762513,0.23883124086247884,-1.6078693134127897,0.9380480905233373
8,1.0459802790978197,0.4571142628388416,1.6612446958981582,-0.20594755877034226,2.2599227770754244,-0.3331939470162848,-0.9200848656294204,0.22466818548336004,-1.5635199980525432,0.8696695303920905
9,1.0329579184693671,0.44804033398731324,1.6356996186564965,-0.1674164317110117,2.247038327526132,-0.39226359157807417,-0.9999999999999998,0.17016267464076792,-1.5715315555805331,0.8280650994575045
10,1.075315540410086,0.4595238095238097,1.6972047030039432,-0.14529114387855993,2.2912124567004892,-0.44435751751482133,-1.1355083940449802,0.1923410425093256,-1.693919198568659,0.8483983207803433
11,1.098815950658713,0.48303656381677784,1.7132404181184668,-0.10311173974540433,2.3077091331727924,-0.45863346391739906,-1.1285714285714286,0.20594747899159668,-1.6902063473513744,0.8293104667609618
12,1.1195653023549856,0.4795568845997083,1.741083306936973,-0.0775859725431486,2.3669785082174544,-0.47461366149036677,-1.1428571428571428,0.20161626694473506,-1.7587015286693493,0.8352534562211988
13,1.1201377482306856,0.48700412403154425,1.733613445378148,-0.05799913958604263,2.3881303268484264,-0.49080043455980865,-1.1477863000136217,0.16208755049749235,-1.7530074705502763,0.7933621474067337
14,1.166205799636009,0.5569149291783142,1.7689075630252082,0.0062637362637364,2.359893822393816,-0.4935114498852742,-1.1083940449794116,0.1416885426369852,-1.6685120916272809,0.7284747662673897
15,1.1742432493601838,0.580426804403966,1.7558205807234908,0.0661410901182517,2.3309789619880323,-0.4877690585400865,-1.0789484126984126,0.14002534051314514,-1.6513019308575378,0.6848472044610593
16,1.1479321707722778,0.5368770764119601,1.7216978143807435,0.02118847006652042,2.31608410834762,-0.43884059586563856,-1.0294821258665208,0.1562790023451358,-1.5151964115808063,0.7319128237461461
17,1.2245688249597568,0.6617358251504618,1.774540311173972,0.15522222051353346,2.3263736263736265,-0.4130006614749524,-0.9313837478311167,0.09125092524056075,-1.3714285714285714,0.6165428811885991
18,1.1830550056741314,0.6246462802373458,1.7272759103641442,0.11772000260279389,2.2690240452616686,-0.4553057084093373,-0.96543529338265,0.03391696926153932,-1.3686739745403114,0.5438390641616446
19,1.2196714559269966,0.7045918367346937,1.738448782002426,0.19339068918301797,2.2511923665716504,-0.41765545971260715,-0.9132276790018043,0.03259585932021908,-1.3132568068199033,0.5398529411764708
20,1.3473552431394187,0.8252344918635172,1.8742829957863205,0.33142585292917787,2.3762648213809143,-0.43137145866027665,-0.8884089314940375,0.016467665904515323,-1.254767184035477,0.4532178489200734
21,1.4050220337053245,0.8598477640342506,1.9518530250237605,0.3499916261932666,2.4971261293207014,-0.39329301011673595,-0.8352866645549575,0.0255407245885837,-1.2049634754487766,0.45186415083274667
22,1.4969515927735484,0.8803643501168295,2.095692112765287,0.37166018529109235,2.6718553645524628,-0.3672885508094207,-0.8427243994943096,0.0428116469517765,-1.2132070898348737,0.5313924761370021
23,1.5673533877455639,0.9036192554948298,2.1754946486930518,0.4064815107458885,2.867304101838756,-0.37842044616795234,-0.8301828190838648,0.030662505737169825,-1.2102945834653156,0.4578204898980869
24,1.4892013406200317,0.9159432903950044,2.0203750655709056,0.41114982578397075,2.5925878999049776,-0.3851675973928552,-0.8610119047619047,0.028856932301276176,-1.2154933567799926,0.4883776367689943
25,1.5569455327554642,0.9615957560818775,2.133239038189533,0.4473204828788527,2.6929509906152234,-0.358823866814262,-0.8594059405940596,0.08572635135134986,-1.284858175404692,0.558635283084801
26,1.5179175031225498,0.9392913617059814,2.0493635077793484,0.4423253874934433,2.632142857142857,-0.38615956687001524,-0.8523915109280967,0.038489535941766,-1.3069865434280252,0.5384184624842049
27,1.421091984326983,0.8515245926900206,1.9217928413050385,0.4109243697479,2.4814710042432813,-0.4282724732878318,-0.9477019625741671,0.0495049504950496,-1.3979094076655052,0.5741641337386015
28,1.3972667942990769,0.8300911854103364,1.9057343507382867,0.384366048683099,2.452414092664097,-0.4910790404898326,-1.0388343363953123,-0.016899494310997975,-1.453120050681027,0.5293272425249175
29,1.3734793502482248,0.8041359390364097,1.8628552069239446,0.33493635077793393,2.4565217391304346,-0.5099734350463181,-1.0214285714285716,-0.0380838435610507,-1.4387625113739768,0.457524752475248
