Date,Mean_Day,P25_Day,P75_Day,P10_Day,P90_Day,Mean_Night,P25_Night,P75_Night,P10_Night,P90_Night
0,1.8402032991072634,0.9004893298898982,2.810924369747896,-0.06256987577639747,3.5834847604969555,-1.335879909839594,-2.3285714285714287,-0.4569642857142857,-3.128571428571429,0.36224089635854406
1,1.806869971073297,0.8464285714285713,2.8285714285714283,-0.13902649258461225,3.5857142857142854,-1.2326902632989072,-2.118575422181653,-0.5310924369747888,-2.724417221693627,0.41635892452218987
2,1.9293879163686842,0.9785714285714283,2.9963556851311948,-0.1157401114584777,3.65,-1.140667159572278,-1.9162022563544927,-0.5285714285714287,-2.4857142857142853,0.4673241970432331
3,1.9119208915432804,0.9309908930270478,2.967857142857142,-0.1676464277011671,3.610714285714285,-1.433066865850373,-2.367857142857143,-0.6915079365079368,-2.967857142857143,0.34857142857142853
4,1.854739831634857,0.902541796928097,2.846428571428571,-0.1260296316433316,3.4750000000000005,-1.4065209906913172,-2.3322957727334512,-0.7075344611528821,-2.921428571428572,0.35966386554622
5,1.9481171663724106,1.0389030612244892,2.867857142857144,0.07754197022489855,3.482142857142857,-1.4860977229679424,-2.414066636239158,-0.7168275112138099,-3.0500000000000003,0.1513803180644292
6,1.8822069513007085,1.0878571428571429,2.6750000000000003,0.27857142857142836,3.3241130820399136,-1.451138199808298,-2.367857142857143,-0.6708950659236101,-3.0117857142857147,0.10458646616541353
7,1.9809398866775347,1.1857142857142862,2.738901726247117,0.4782459312839062,3.3767787114845933,-1.5124327558206294,-2.4107142857142856,-0.7414299306782647,-3.1156333638339233,0.00168067226890803
8,2.0175991644742965,1.208214285714286,2.7731092436974762,0.4839677266255325,3.38739495798319,-1.745025507571417,-2.867857142857144,-0.7697478991596636,-3.7540743440233237,-0.06367619810706465
9,1.8408200463108086,1.106165985849496,2.475791762946858,0.4186489058040009,3.1158679814353207,-1.8311225799844157,-3.071428571428572,-0.8354492320239217,-3.914285714285714,-0.06595238095238051
10,1.8840107621018323,1.134863945578231,2.4950164290867964,0.4496938775510202,3.257142857142857,-1.8616198338680725,-3.185714285714286,-0.7855334538878841,-4.114285714285715,0.02564459930313654
11,1.9703767595695563,1.2381393016683466,2.564285714285714,0.5991966834307478,3.3325145772594755,-1.8574810898991352,-3.1805900621118015,-0.7523809523809526,-4.078015873015873,0.11445035722193933
12,2.1718990952021717,1.360641399416909,2.877639751552795,0.6795568845997082,3.55,-1.7826590007483238,-3.025,-0.7914367269267343,-3.810714285714286,0.12108218897315023
13,2.2705497783654183,1.4056832298136648,3.060714285714286,0.7190476190476187,3.7081987577639772,-1.671752441938684,-2.782142857142857,-0.8083457931221949,-3.5107142857142857,0.19378709454796414
14,2.2847871057856057,1.457288629737608,3.0285714285714285,0.7858600583090365,3.642857142857143,-1.677650670933185,-2.7390476190476196,-0.7550391238377478,-3.4714285714285715,0.1462184873949576
15,2.3253720508370046,1.5051058201058172,3.045303866188015,0.8518553758325373,3.65,-1.6314107273887108,-2.6214285714285714,-0.7467630868575639,-3.335714285714286,0.0411764705882356
16,2.3636863305975253,1.493059075071272,3.117857142857143,0.8323291925465842,3.778571428571429,-1.7082216832066137,-2.742857142857144,-0.7580535544379492,-3.4857142857142858,-0.04721088435374148
17,2.3181977099698785,1.4597959183673461,3.1142857142857143,0.7294409937888201,3.7857142857142856,-1.739856362510878,-2.742857142857144,-0.7947397036835666,-3.542857142857143,-0.13316526610644253
18,2.3644310008770106,1.4922114992524058,3.157142857142857,0.7747857142857143,3.9,-1.8364673382975247,-2.882142857142857,-0.8653380944829571,-3.725000000000001,-0.2655566127497629
19,2.280053796234457,1.5180508359385545,2.9498574596135563,0.8848571428571425,3.7964285714285713,-1.839452433574532,-2.907142857142857,-0.8347016446921314,-3.9071428571428575,-0.2613445378151257
20,2.387929184395891,1.5606514942881953,3.042857142857144,0.9457115672148921,4.05,-1.9384482987344276,-3.0964285714285715,-0.8488922114992532,-4.182142857142858,-0.3021016066000865
21,2.5398255662797142,1.6884191926056789,3.216990621177107,1.0964285714285715,4.2107142857142845,-1.916327155269027,-3.1750000000000003,-0.7432469935245143,-4.362857142857143,-0.1932773109243693
22,2.6430968529474215,1.804513170002299,3.2459627329192537,1.1828523771736232,4.208875701056479,-1.7225101222306112,-2.861371957420842,-0.7001359249694158,-3.853571428571428,-0.09999999999999987
23,2.730542232902334,1.847826086956521,3.3892857142857147,1.1609079787957046,4.4320375356351,-1.6411960387132212,-2.6357142857142857,-0.7011961397308671,-3.707142857142857,-0.0684642857142849
24,2.828366844338655,2.026070409134159,3.4392857142857136,1.3429764022433532,4.307857142857142,-1.4749902377888995,-2.3178571428571426,-0.6170449911648755,-3.232142857142857,-0.0268907563025206
25,2.7989940162206355,2.000145772594752,3.4272321428571417,1.259933554817275,4.257142857142858,-1.3205455014831924,-2.060714285714285,-0.5248447204968945,-2.946428571428572,0.08550881854304469
26,2.8186894048678957,1.9357142857142853,3.503571428571429,1.1784471543136759,4.432142857142857,-1.3945363744350086,-2.189285714285714,-0.5413198757763975,-2.975,0.05966386554621893
27,2.7596809209610007,1.900645741809152,3.4785714285714286,1.2024781341107862,4.421428571428571,-1.4029282192479104,-2.171428571428572,-0.585700565281819,-2.9285714285714284,0.11984126984126972
28,2.705583668165792,1.8284762810928374,3.460714285714286,1.1067940199335546,4.389285714285714,-1.3659396136267667,-2.124548622109598,-0.5864285714285715,-2.8945074437757365,0.10226994698926213
29,2.64596959435372,1.6999999999999995,3.442236024844721,1.0172644376899704,4.468067226890756,-1.464501124041944,-2.1574708454810496,-0.6285714285714286,-3.225,0.039285121517479885
30,2.7130039618858217,1.8023187026848135,3.5,1.0692217165611895,4.523025210084033,-1.4901259413964365,-2.209779316103225,-0.6111801242236022,-3.235714285714286,0.01260504201680643
