Date,Mean_Day,P25_Day,P75_Day,P10_Day,P90_Day,Mean_Night,P25_Night,P75_Night,P10_Night,P90_Night
0,0.4203778120208182,-0.5877551020408165,1.5181695596664282,-1.687448897893826,2.883673469387755,-0.9250592789631068,-1.8647682479271463,0.08263081572288565,-2.6423558897243105,0.7365423012175568
1,0.3878790513879853,-0.6613848148448263,1.5272464757768962,-1.8048590409200018,2.932543753488396,-0.897418365141434,-1.7981382026494817,0.0488721804511273,-2.569566774078053,0.745116064035927
2,-0.08247385771754942,-0.7988866396761141,0.8216777408637872,-1.907908287604239,1.577551020408163,-0.8179128308471607,-1.6265841244424117,0.055652591366874796,-2.430487970640208,0.7398868458274391
3,-0.554084744044996,-1.478804153240242,0.44795017707750684,-2.4930898675259563,1.2111428571428569,-1.1076277290813767,-2.1396428571428574,-0.040168067226890244,-3.0,0.7121396171503869
4,-0.8035100473202246,-1.8449314279487563,0.4187269838805935,-3.410562119584676,1.162654418751982,-1.106670912822432,-2.132295772733451,-0.07407407407407421,-3.024812030075188,0.7038056265511257
5,-0.7762685781628468,-1.7599028729047066,0.4823918803914737,-3.5720372359470107,1.2417293233082698,-1.32748984446701,-2.388256082642381,-0.19273486110046611,-3.615216612960972,0.4831724887861902
6,-1.0061944157422034,-1.806122448979592,0.3849999999999981,-4.4039384174722525,1.0584467383334908,-1.3408245236985383,-2.1392077755364016,-0.20693277310924305,-4.124060150375939,0.42857142857142827
7,-1.0908987326767594,-1.7202657807308988,0.4186345966958212,-4.929538131041891,1.011103678929766,-1.7058306582846958,-2.268186335403727,-0.3371070002444785,-5.55563909774436,0.3205981854528744
8,-1.1889494833874104,-1.812244897959184,0.4278102487426974,-5.402592194772645,0.9992388201712692,-1.724653716649234,-2.332439487422876,-0.34764638694078454,-5.457107053347654,0.30719851576994456
9,-1.0544820850849788,-1.8231966053748265,0.4081453634085215,-4.632939491586106,0.9743568626495471,-2.024299080827515,-2.455102040816326,-0.4185856778098451,-6.645506623702111,0.24479591836734685
10,-1.047540987086894,-1.918367346938776,0.4456505914467701,-4.606509129967775,1.0116759548729144,-1.954753978620708,-2.5632653061224486,-0.4695488721804507,-6.125420694593625,0.22771849938833938
11,-0.2549677400922581,-0.9334244702665748,0.557142857142857,-1.8536652555759123,1.071780281367947,-2.0050390999990277,-2.6116084057385325,-0.5056390977443608,-6.1735409953455065,0.2116940695827775
12,-0.1987165712017585,-0.8757183366159658,0.6240634471610405,-1.8203437164339407,1.1435265608236662,-2.0612447181045237,-2.5612244897959187,-0.5038053003906668,-6.543716433942001,0.20401881425010607
13,-0.3707627608345912,-1.0653061224489793,0.4067554709800214,-1.9510204081632647,0.9745933263816492,-2.260058107910789,-2.6326530612244894,-0.4818454563779667,-7.54869316147512,0.22243609022556435
14,-0.26894617751675626,-0.9217687074829912,0.4509120274378266,-1.65034013605442,0.9750169906211763,-1.9843399622450797,-2.503534049204837,-0.46915550965527086,-6.2985678481919125,0.2058233512049518
