Date,Mean_Day,P25_Day,P75_Day,P10_Day,P90_Day,Mean_Night,P25_Night,P75_Night,P10_Night,P90_Night
0,-0.18093969913502814,-1.0095238095238086,0.8979591836734694,-2.4737963843958153,1.7387755102040807,-1.5248956476090352,-2.210204081632653,-0.753061224489796,-3.179053962212861,0.07678175483053752
1,-0.2710598185492336,-1.1314285714285717,0.8469387755102037,-2.6418377055865188,1.7108113489298151,-1.4880571248451815,-2.181310316705181,-0.7238095238095237,-2.981310316705181,0.005237460921568602
2,-0.3038414387743178,-1.1528349699081386,0.7918367346938774,-2.6157401114584777,1.6214285714285708,-1.4075183737754549,-2.10191654206878,-0.7285714285714288,-2.7601282798833817,0.08380952380952363
3,-0.2623782647811646,-1.0904761904761904,0.7999999999999997,-2.3547233926872377,1.5253061224489792,-1.5444837859328653,-2.254736985184179,-0.8285714285714286,-2.9966616827511214,-0.00335761799176308
4,-0.2203168170203517,-1.0036443148688057,0.7811428571428578,-2.1831724887861883,1.4598905803996205,-1.4286324788776543,-2.075152915590594,-0.7162790697674415,-2.8288124144226376,-0.0441558441558441
5,-0.07699096831206641,-0.8228571428571424,0.8832676362647826,-1.9183103939250121,1.5725714285714278,-1.493908089978608,-2.0755102040816324,-0.8108013937282232,-2.8428571428571425,-0.34833138876576625
6,-0.06111007847448591,-0.6619047619047614,0.7487970640206638,-1.649424260665255,1.258948368704467,-1.2722942161674062,-1.705714285714286,-0.6692945494087258,-2.5007142857142854,-0.3222046246436494
7,0.08588882856677675,-0.4896697023243118,0.8103302976756884,-1.289669702324312,1.2842105263157888,-1.390869006494136,-1.7700013592496933,-0.8271442163925505,-2.581632653061224,-0.455715644963979
8,0.09962888061017927,-0.4708571428571435,0.8420959630284114,-1.2721897512573028,1.313524534456983,-1.5341368771303938,-1.9183673469387752,-0.9353268995514462,-2.804081632653061,-0.5452961672473868
9,0.09818879271133377,-0.4410714285714285,0.7900774772325726,-1.255102040816327,1.2327526132404174,-1.6917201962012496,-2.06,-1.106877803452493,-2.926530612244897,-0.719797275894838
