Date,Mean_Day,P25_Day,P75_Day,P10_Day,P90_Day,Mean_Night,P25_Night,P75_Night,P10_Night,P90_Night
0,0.32123649838943785,-0.4874999999999997,1.3428571428571427,-1.556653527252959,2.107312925170073,-1.2728260900417547,-2.0647682479271467,-0.453061224489796,-2.878571428571429,0.26301889658460764
1,0.23442379770167582,-0.5821428571428571,1.2724480086991952,-1.684694848443662,2.049487307117972,-1.2285217690531864,-2.024167459562324,-0.4238022062455454,-2.667024602419467,0.2750712701932233
2,0.2321023397256915,-0.5799999999999998,1.307142857142857,-1.6585972543156209,2.0137102473498256,-1.190817487963943,-1.9392857142857145,-0.4447736849259219,-2.530487970640208,0.21772991236406083
3,0.22709404440354433,-0.5774436090225582,1.272207792207792,-1.608906210682832,1.962769448373408,-1.3198041183200295,-2.069022699469893,-0.5516483516483514,-2.7604463927483485,0.1291152510796875
4,0.23999932377894095,-0.5418966529653473,1.2261904761904765,-1.5562857142857147,1.9002358675996545,-1.2581483352751905,-1.921428571428572,-0.5503759398496237,-2.6471869874495946,0.1272727272727271
5,0.37937283559868157,-0.3653061224489798,1.3061224489795915,-1.322993197278911,1.9626005398015134,-1.268760455686314,-1.861904761904762,-0.6067055393585999,-2.5788594161488736,-0.10524970963995309
6,0.4782575428125103,-0.1787481070166563,1.3035714285714288,-1.0226315074079078,1.845043731778424,-1.1539748858113457,-1.6801302069549495,-0.539540463488301,-2.4970035340492047,-0.09363319607222066
7,0.6246076152567606,0.0142857142857144,1.349735449735449,-0.7084702656154644,1.823461601217756,-1.2027473530027133,-1.713605442176871,-0.5985727878211219,-2.516736938834673,-0.17140537869210576
8,0.6624752619067837,0.0563816773141259,1.375801749271137,-0.6296743195538732,1.8459333306431802,-1.3053825940775294,-1.7924697566943035,-0.6820082356667735,-2.717890365448505,-0.24865629420084875
9,0.6544556879134923,0.1017857142857142,1.3132890365448486,-0.5813510941959992,1.775791762946858,-1.4076142721990588,-1.8640206605953504,-0.7925920891667789,-2.812857142857143,-0.3476878893464257
10,0.7082341331964875,0.1545330977300576,1.3688188120157716,-0.505455887781467,1.8346938775510195,-1.3829786672752287,-1.814516786733721,-0.7489795918367347,-2.8386297376093292,-0.30511731984829626
11,0.7169673022568542,0.1687508495310639,1.3687508495310634,-0.4888223356497147,1.83743441393673,-1.3966307186883418,-1.8357142857142856,-0.7514285714285714,-2.878571428571429,-0.3008915795266899
12,0.745912479386311,0.1892128279883379,1.3857142857142828,-0.4545413533834586,1.9071428571428568,-1.398799815413357,-1.889515362686096,-0.7644599303135889,-2.8285714285714283,-0.2825714285714281
13,0.755376665912902,0.1924697566943073,1.3496126138371645,-0.4087074829931974,1.9423560643769724,-1.4359153415961632,-1.9900621118012416,-0.8225913621262461,-2.759860943934115,-0.2654725921523868
14,0.8113382820352819,0.2564784053156146,1.4,-0.3249830093788238,1.953380695959098,-1.4226368991223701,-1.9428571428571428,-0.8178197634905515,-2.68999214963952,-0.29142857142857104
15,0.85830700562382,0.3471428571428572,1.4071428571428573,-0.22058337959566304,1.9699631552503691,-1.4084498827033438,-1.9225913621262465,-0.8043088215305136,-2.658930883750396,-0.3347457781834826
16,0.88163990109978,0.346428571428571,1.4408163265306126,-0.27776605697195517,2.048934486938718,-1.4007419716879796,-1.8904761904761904,-0.7902332361516036,-2.685714285714286,-0.3535714285714285
17,0.8008729734204891,0.2379366589642459,1.380793801821389,-0.3238978874661752,1.9505899459777263,-1.4505750714172987,-1.9375968465407087,-0.8448979591836736,-2.679025449579739,-0.42093023255813966
18,0.9418680262691351,0.3938775510204083,1.5299003322259133,-0.19671428571428584,2.063640070680977,-1.4872044158150353,-1.92269946989262,-0.8941280413211914,-2.7551020408163263,-0.4883458646616542
19,1.0359461059287345,0.5037651216528398,1.618050835938554,-0.06902437638333445,2.118050835938554,-1.4904368084979251,-1.8910299003322264,-0.8775587875492742,-2.857142857142857,-0.47972526592702314
20,1.06316725029993,0.5028544243577494,1.631425852929178,-0.04285714285714274,2.167172011661809,-1.4889743450879418,-1.834606497213539,-0.8418604651162792,-3.029285714285714,-0.4547671840354769
21,1.12498611617993,0.5343915343915359,1.7048524533912848,-0.01158080739432154,2.2678571428571423,-1.436969139308921,-1.7789915966386551,-0.7704906891395938,-2.987891156462585,-0.38180502073616185
22,1.1511077251276163,0.542857142857143,1.760714285714286,-0.00532825880114228,2.337528884056,-1.3888807466307058,-1.7569658659924126,-0.7182724252491693,-2.942857142857143,-0.3162448461782408
23,1.1516962988790471,0.5037651216528476,1.760907978795705,-0.01999999999999982,2.460563826417489,-1.3965246812425596,-1.7794460641399417,-0.7518272425249168,-2.9642857142857144,-0.3518272425249169
24,1.2113778809329192,0.5995918367346933,1.811111111111112,0.05464183770558726,2.396428571428572,-1.3573087261536714,-1.754421768707483,-0.722857142857143,-2.8085158315818024,-0.3599021340220183
25,1.1205908328671519,0.4668989547038319,1.7314285714285718,-0.057142857142857384,2.4116143288424445,-1.3157871493206141,-1.7476190476190474,-0.6847356259344822,-2.7062244897959187,-0.2827242524916943
26,1.0568710264751606,0.3778170449911655,1.6714285714285722,-0.18044285714285638,2.360714285714286,-1.3483663601879616,-1.8137142857142856,-0.7212722577137395,-2.6902491694352157,-0.33455149501661113
27,1.0372434381662845,0.3928571428571433,1.6176079734219244,-0.15215530017056772,2.25,-1.4462771292979735,-1.992857142857143,-0.8123963572108178,-2.7142857142857144,-0.3345904761904749
28,0.9883537952034633,0.328717201166181,1.614190566807123,-0.2714285714285721,2.230532150776055,-1.348834092001602,-1.8928571428571428,-0.6977300530107379,-2.659183673469388,-0.26857592000519953
29,0.9988995519203453,0.334936350777934,1.6244897959183682,-0.2771251109139337,2.1895445042762143,-1.4025497566193998,-1.866888677450047,-0.8056065885334183,-2.5699383009017565,-0.39132087424770384
30,1.0649448342660903,0.3732499660187598,1.7428571428571429,-0.31650145772594707,2.301821394590188,-1.374174600468942,-1.8408163265306123,-0.7707142857142857,-2.580386026913144,-0.38560105227038743
31,1.0334929915924371,0.3365221360109436,1.7317520728557871,-0.45216098718557246,2.332152289009641,-1.3597818026700528,-1.7993197278911564,-0.7392857142857145,-2.564511155556419,-0.37260501291705483
32,0.9412033498744641,0.1242524916943513,1.7279733587059964,-0.6614617940199345,2.399401930134568,-1.4284891277865426,-1.911879842327037,-0.740451270898465,-2.727127905396222,-0.34045127089846494
33,0.8730556530622152,0.0455484572515979,1.6515996198923075,-0.7388704318936874,2.2552530354229257,-1.4566079034360844,-1.910710887590051,-0.7490022172949008,-2.744285714285715,-0.32028936126497326
34,0.889900402354784,0.1024135923358007,1.6193877551020408,-0.6418604651162785,2.216522796352585,-1.3807593924672856,-1.825,-0.6398532010330306,-2.725,-0.1813736263736253
