Date,Mean_Day,P25_Day,P75_Day,P10_Day,P90_Day,Mean_Night,P25_Night,P75_Night,P10_Night,P90_Night
0,0.1646418951806962,-0.7223903728689927,1.0074472026676584,-1.7267498570148785,1.8588790296106246,2.280586764301179,1.3761551897528308,2.933298046895687,0.6368401859786652,4.080986990028093
1,0.23248951635033685,-0.6164835164835164,1.0413533834586464,-1.5274318457673408,1.9091559509796763,2.427189305005227,1.468854298356518,3.1581379346848126,0.7527835854956157,4.352438621898962
2,0.24603610866085865,-0.578110451848474,1.0513946964484215,-1.5328648424948759,1.8956085223228012,2.608818084043859,1.585714285714286,3.434960038109356,0.8448444469861597,4.584861407249468
3,0.2589302740237432,-0.5732522796352626,1.0763376623376593,-1.4869319058204427,1.8556045254981393,2.7025724454653006,1.6458486642137224,3.5500000000000003,0.9587041061420558,4.680923436303601
4,0.23523804949632487,-0.5508492508292352,1.0047095761381477,-1.443040208658993,1.7903535434330444,2.7060875569366756,1.6988851299400305,3.5227679453524123,1.0131708442257443,4.624473864806129
5,0.13398141800474786,-0.6933333333333341,0.9226569608735222,-1.5934659383695744,1.6869620860662213,2.583803253942644,1.6301335348954358,3.3130198915009053,0.9986073148293957,4.401940105621623
6,0.10955852696653441,-0.7058300665511859,0.8815126050420167,-1.6341784666945927,1.693121693121693,2.360849321767601,1.466865712462399,3.0604595365116984,0.7464512810059153,4.1198697930450505
7,0.09806076599307918,-0.6816414421065582,0.8683745302492996,-1.6344171711673559,1.6788835799806565,2.2155529440655064,1.3777410425957315,2.89090909090909,0.6811616954474097,3.978571428571428
8,0.09244918491586292,-0.7243486606260804,0.9166781347589078,-1.721688311688311,1.6881067061874797,1.9911516952163657,1.2184089345260278,2.614055299539171,0.5230198915009063,3.4936497271547657
9,0.04800826914913021,-0.7809523809523731,0.8766917293233084,-1.8042091576954506,1.6837558869074998,1.8117087738585078,1.0641055192726534,2.392857142857143,0.381265012009607,3.1712889615896964
10,-0.004162643978379792,-0.8435610302351704,0.8294642857142891,-1.84586460936457,1.66873223539585,1.7937980875816704,1.052260397830021,2.392857142857143,0.3859734236554326,3.1102464222203463
11,-0.015637782965508405,-0.920063897763572,0.8432088527965182,-1.8629425698074773,1.6990729714459565,1.805485810813303,1.0552923760177644,2.444047619047619,0.32273027212979327,3.163202925724398
12,0.04944314446357267,-0.8782857142857081,0.931015369110615,-1.8145959114471586,1.758768024333804,1.943778533154952,1.1928571428571424,2.575705287672695,0.511583482031778,3.339495798319329
13,0.006609674694839626,-0.9271264489493456,0.844302122479226,-1.7966332394662299,1.6463305016820855,2.0760250791675205,1.3525627635294617,2.7229323308270668,0.6659082551535879,3.456548305069272
