Date,Mean_Day,P25_Day,P75_Day,P10_Day,P90_Day,Mean_Night,P25_Night,P75_Night,P10_Night,P90_Night
0,0.04979962772693455,-0.6697483083984478,0.8560601299941095,-1.6258572010887018,1.6280039295805437,-0.0888792158997694,-0.7371008403361343,0.5920805506829404,-1.5235997103941337,1.306660323501425
1,0.013380012786237286,-0.7189197940862275,0.8571428571428577,-1.725118402240788,1.6444278918037227,-0.12056829753658041,-0.7912302014454871,0.5990001850400997,-1.5559805435837304,1.2615468261519616
2,-0.027580621275368526,-0.729392626883238,0.7757364586632899,-1.6878116982787001,1.5449949746013678,-0.1353170911134215,-0.8051865738080408,0.5709494359113766,-1.5666253662262737,1.2678571809203056
3,-0.06937338877512178,-0.7605980066445182,0.7170821388411781,-1.681908383849937,1.4565352205297815,-0.17982630211936548,-0.8404149837860934,0.5492163183637169,-1.610819875776397,1.2114647481231635
4,-0.08789332790426342,-0.776872253166375,0.6651610294679405,-1.6588195488721813,1.4069456596978362,-0.1929051104677704,-0.8583956006318756,0.533276166902404,-1.5643984962406017,1.203818953323902
5,-0.012042312773095757,-0.6884202116670757,0.7254317573660247,-1.4597775263797679,1.4270313333247573,-0.2738018613698339,-0.852255639097744,0.37399159663865567,-1.6255966898954706,1.0203593274577978
6,-0.009256881815821998,-0.6507518796992491,0.6992857142857128,-1.3545345361159693,1.329113082039913,-0.31046556704896566,-0.8653328376987289,0.2999999999999999,-1.6097127261696023,0.9458698436731678
7,0.03021614972769647,-0.5733082706766922,0.6779159269341515,-1.229418963742423,1.2543983763769568,-0.399638097171053,-0.9414299306782647,0.2149943193044869,-1.6788622067912053,0.8085572842998586
8,0.041955023626562386,-0.5418563375150218,0.6754664889565852,-1.1996496977802034,1.2179491131878248,-0.39889779877220116,-0.9398242880018297,0.1970793020155512,-1.6303521121246511,0.7568783068783047
9,0.029551556571896478,-0.5374823196605407,0.6538647028154391,-1.1812828302604015,1.1906600660066053,-0.4644756914970527,-1.0164856676513412,0.15106082036775126,-1.7055115616091236,0.7375996328211355
